药品分类,商品名称,包装规格,生产厂家,批准文号,采购价,折扣价,销量
西药,格列吡嗪片【美吡达】,5MG*30S / 大包装：480 盒                    ,海南赞邦制药有限公司,国药准字H10930076,￥15.20/盒,￥13.98,35494
西药,格列齐特片Ⅱ【达美康】,80mg*60片 / 大包装：200 盒                    ,天津华津制药有限公司,国药准字H10910053,￥70.50/盒,￥64.86,42328
西药,氯雷他定糖浆,60ml:60mg / 大包装：100 瓶                    ,广东华润顺峰药业有限公司,国药准字H20050329,￥12.90/瓶,￥11.86,124
西药,盐酸二甲双胍片【格华止】,500mg*20S / 大包装：360 盒                    ,中美上海施贵宝制药有限公司,国药准字H20023370,￥36.00/盒,￥33.12,21261
西药,厄贝沙坦胶囊,75mg*4粒*3板 / 大包装：240 盒                    ,浙江弘盛药业有限公司,国药准字H20052155,￥9.50/盒,￥8.74,1601
西药,复方酮康唑发用洗剂,50ML / 大包装：120 瓶                    ,滇虹药业集团股份有限公司,国药准字H53021775,￥36.00/瓶,￥33.12,6615
西药,万通 小儿氨酚黄那敏颗粒,10袋 / 大包装：100 盒                    ,吉林万通药业集团梅河药业股份有限公司,国药准字H22024971,￥7.90/盒,￥7.26,4277
西药,阿奇霉素糖浆,60ml:1.5g/瓶 / 大包装：100 瓶                    ,广东华润顺峰药业有限公司,国药准字H20000308,￥16.80/瓶,￥15.45,463
西药,利多卡因氯已定气雾剂【成膜型】,60克/瓶 / 大包装：120 瓶                    ,广东同德药业有限公司,国药准字H44024772,￥22.75/瓶,￥20.93,391
西药,辛伐他汀分散片(辛可),10mg*20片 / 大包装：500 盒                    ,广州南新制药有限公司,国药准字H20010749,￥24.00/盒,￥22.08,171
西药,【亚宝】小儿氨酚黄那敏颗粒,10袋/盒 / 大包装：160 盒                    ,亚宝药业四川制药有限公司,国药准字H14022942,￥4.00/盒,￥3.68,16677
西药,吉加/厄贝沙坦片,0.15*7s / 大包装：200 盒                    ,江苏恒瑞医药股份,国药准字H20000513,￥6.98/盒,￥6.42,73112
西药,复方门冬维甘滴眼液(新乐敦),13ML / 大包装：288 支                    ,曼秀雷敦(中山)药业公司.,国药准字H20020268,￥23.00/支,￥21.16,39185
西药,【安婷】左炔诺孕酮片,1.5MG*1片/盒 / 大包装：500 盒                    ,东北制药集团沈阳第一制药有限公司,国药准字H20058582,￥14.15/盒,￥13.01,12395
西药,小儿氨酚黄那敏颗粒,13袋/盒 / 大包装：200 盒                    ,广西圣特药业有限公司,国药准字H45021085,￥2.60/盒,￥2.39,2124
西药,孟鲁司特钠片【顺尔宁】,10mg*5片/盒 / 大包装：400 盒                    ,杭州默沙东制药有限公司,国药准字J20130047,￥38.60/盒,￥35.51,19852
西药,布洛芬混悬液【迪尔诺】,25ml / 大包装：100 瓶                    ,武汉人福药业有限责任公司,国药准字H10980021,￥5.50/瓶,￥5.06,5719
西药,左炔诺孕酮片【金毓婷】,1.5mg*1片 / 大包装：500 盒                    ,华润紫竹药业有限公司,国药准字H11021372,￥13.50/盒,￥12.42,27659
西药,恩替卡韦片【博路定】,0.5MG*7S / 大包装：360 盒                    ,中美上海施贵宝制药有限公司,国药准字H20052237,￥202.00/盒,￥185.84,15992
西药,盐酸小檗碱片,0.1g*100s / 大包装：400 瓶                    ,东北制药集团沈阳第一制药有限公司,国药准字H21022453,￥13.50/瓶,￥12.42,26059
西药,枸橼酸西地那非片【金戈】,0.1g*1片/盒 / 大包装：200 盒                    ,广州白云山医药集团股份有限公司白云山制药总厂,国药准字H20173090,￥49.50/盒,￥45.54,507
西药,金匮肾气丸,5g*12袋/盒 / 大包装：200 盒                    ,承德御室金丹药业有限公司,国药准字Z13022456,￥9.80/盒,￥9.01,1804
西药,苁蓉益肾颗粒【兰太】,2g*6袋 / 大包装：100 盒                    ,内蒙古兰太药业有限责任公司,国药准字Z20030099,￥33.00/盒,￥30.36,270
西药,婴宝乳膏【诺必夫】,13.5g / 大包装：480 支                    ,江西博安康生物科技有限公司,赣卫消证字（2013）第0021号,￥6.00/支,￥5.52,11470
西药,坎地沙坦酯片【悉君宁】,4mg*14片 / 大包装：500 盒                    ,广州白云山天心制药股份有限公司,国药准字H20051217,￥7.80/盒,￥7.17,500
西药,板蓝根颗粒,10g*20袋 / 大包装：60 包                    ,广东五虎山药业有限公司,国药准字Z44021852,￥7.70/包,￥7.08,36
西药,硫酸庆大霉素颗粒,12袋/盒 / 大包装：200 盒                    ,葵花药业集团,国药准字H20045458,￥3.90/盒,￥3.58,3621
西药,银杏酮酯滴丸,8mg*60丸/瓶/盒 / 大包装：200 盒                    ,北京汉典制药有限公司,国药准字Z20060461,￥14.30/盒,￥13.15,943
西药,补中益气颗粒,3g*15袋/盒 / 大包装：90 盒                    ,北京汉典制药有限公司,国药准字Z20040120,￥24.00/盒,￥22.08,277
西药,马来酸依那普利片,10MG*20片/盒 / 大包装：300 盒                    ,广东彼迪药业有限公司,国药准字H44024933,￥7.45/盒,￥6.85,33145
西药,罗通定片,30mg*100片 / 大包装：600 瓶                    ,四川迪菲特药业有限公司,国药准字H51021203,￥18.80/瓶,￥17.29,1580
西药,马来酸氯苯那敏注射液,1ml*10mg*10支 / 大包装：400 盒                    ,遂成药业股份有限公司,国药准字H41021259,￥2.20/盒,￥2.02,8996
西药,维生素C片,0.1g*25片*2板 / 大包装：400 盒                    ,陕西颐生堂药业有限公司,国药准字H61022029,￥2.50/盒,￥2.30,2677
西药,枸椽酸喷托维林片,25mg*1000片 / 大包装：100 瓶                    ,国药集团容生制药有限公司,国药准字H41022458,￥114.00/瓶,￥104.88,412
西药,葡萄糖酸钙含片,0.15G*100S / 大包装：180 瓶                    ,广东三才石岐制药股份有限公司,国药准字H44020676,￥10.00/瓶,￥9.20,16459
西药,碳酸氢钠片,0.5g*100片 / 大包装：300 盒                    ,广州康和药业,国药准字H44021960,￥15.50/盒,￥14.26,801
西药,氯芬黄敏片,24片/盒                    ,上海皇象铁力蓝天制药有限公司,国药准字H23022924,￥1.65/盒,￥1.51,931
西药,格列美脲片【安多美】,2mg*12片*2板/盒 / 大包装：300 盒                    ,贵州天安药业股份有限公司,国药准字H20010561,￥17.50/盒,￥16.10,3411
西药,克林霉素甲硝唑搽剂,50ml/瓶                    ,黑龙江天龙药业有限公司,国药准字H20055436,￥7.50/瓶,￥6.90,831
西药,硝苯地平缓释片(Ⅱ)【伲福达】,20MG*30S / 大包装：600 瓶                    ,青岛黄海制药有限责任公司,国药准字H10910052,￥20.90/瓶,￥19.22,32809
西药,盐酸氨溴索口服溶液,5ML*10支/盒 / 大包装：120 盒                    ,黑龙江中桂制,国药准字H20010534,￥6.50/盒,￥5.98,5425
西药,复方氨酚烷胺胶囊,10粒 / 大包装：400 盒                    ,山西同达药业有限公司,国药准字H14023732,￥2.30/盒,￥2.11,3564
西药,溴米那普鲁卡因注射液,2ml:2mg*10支                    ,山东方明药业集团股份有限公司,国药准字H37023895,￥9.90/盒,￥9.10,92
西药,盐酸伐昔洛韦片【丽珠威】,0.15G*8S / 大包装：320 盒                    ,丽珠集团丽珠制药厂,国药准字H10960080,￥21.80/盒,￥20.05,632
西药,阿莫西林胶囊,0.25g*24s                    ,浙江亚太药业股份有限公司,国药准字H20058652,￥3.25/盒,￥2.99,3914
西药,乳果糖口服溶液【利动】,60ml / 大包装：100 瓶                    ,北京韩美药品有限公司,国药准字H20065730,￥29.50/瓶,￥27.14,4355
西药,糠甾醇片,100片                    ,杭州华东医药集团新五丰药业有限公司,国药准字H33022029,￥8.50/瓶,￥7.82,1242
西药,硫酸氨基葡萄糖胶囊,0.25g*20粒/盒 / 大包装：240 盒                    ,山西同达药业有限公司,国药准字H20090316,￥19.50/盒,￥17.94,164
西药,阿奇霉素干混悬剂,0.1g*12袋 / 大包装：360 盒                    ,黑龙江诺捷制药有限责任公司,国药准字H20057332,￥6.80/盒,￥6.25,2721
西药,甲硝唑氯已定洗剂,50ml*6瓶 / 大包装：40 盒                    ,杭州易舒特药有限公司,国药准字H20023160,￥10.50/盒,￥9.66,1263
西药,吲哚美辛凝胶,35克/支/盒                    ,Kowa Company Ltd,H20130224,￥49.00/盒,￥45.08,7
西药,多潘立酮片【吗丁啉】,10mg*30片 / 大包装：450 盒                    ,西安杨森制药有限公司,国药准字H10910003,￥17.50/盒,￥16.10,84971
西药,复方角菜酸酯栓,3.4g*6枚 / 大包装：180 盒                    ,西安杨森制药有限公司,国药准字H20083150,￥14.50/盒,￥13.34,2197
西药,黄体酮注射液,1ml:20mg*10支 / 大包装：200 盒                    ,浙江仙琚制药股份有限公司,国药准字H33020828,￥17.90/盒,￥16.46,3130
西药,盐酸左氧氟沙星胶囊,0.1g*12粒 / 大包装：300 盒                    ,广东逸舒制药股份有限公司,国药准字H20059122,￥2.20/盒,￥2.02,4056
西药,阿奇霉素分散片,0.25G*12片 / 大包装：400 盒                    ,南京易亨制药有限公司,国药准字H20093302,￥6.90/盒,￥6.34,1540
西药,拉米夫定片【贺普丁】,0.1g*14片 / 大包装：125 盒                    ,葛兰素史克（苏州）制药公司,国药准字H20030581,￥168.00/盒,￥154.56,1441
西药,曲安奈德益康唑乳膏,20g/支 / 大包装：400 支                    ,福建太平洋制药有限公司,国药准字H20064180,￥6.50/支,￥5.98,6072
西药,头孢泊肟酯片【敏新】,0.1g*6片*1板 / 大包装：400 盒                    ,浙江京新药业股份有限公司,国药准字H20040008,￥8.20/盒,￥7.54,3630
西药,单硝酸异山梨酯片,20mg*48片 / 大包装：300 盒                    ,乐普药业(北京)有限责任公司,国药准字H20083014,￥14.80/盒,￥13.61,431
西药,尼群地平片,10MG*100S / 大包装：350 瓶                    ,广东华南药业集团有限公司,国药准字H44023983,￥5.50/瓶,￥5.06,14276
西药,氢溴酸右美沙芬片,15mg*12片*2板/盒 / 大包装：400 盒                    ,广州白云山光华制药股份有限公司,国药准字H10900005,￥6.70/盒,￥6.16,33721
西药,复方氨酚烷胺片,12片 / 大包装：400 盒                    ,山西晋新双鹤药业有限责任公司,国药准字H21023687,￥2.50/盒,￥2.30,1451
西药,盐酸左氧氟沙星滴眼液,5ml/瓶/盒 / 大包装：400 盒                    ,长春迪瑞制药,国药准字H20103347,￥2.73/盒,￥2.51,8663
西药,氢溴酸右美沙芬片,1片*12片/板/盒 / 大包装：400 盒                    ,北京天衡药物,国药准字H19994088,￥3.20/盒,￥2.94,5344
西药,阿昔洛韦片,0.1G*24片 / 大包装：240 盒                    ,丽珠集团丽珠制药厂,国药准字H44023592,￥6.00/盒,￥5.52,3243
西药,萘敏维滴眼液*润洁,10ml / 大包装：504 支                    ,山东博士伦福瑞达制药有限公司,国药准字H20023594,￥12.20/支,￥11.22,5000
西药,布洛芬颗粒,0.2g*8包/盒 / 大包装：400 盒                    ,湖北百科亨迪药业有限公司,国药准字H20094113,￥3.30/盒,￥3.03,1829
西药,硫酸氢氯吡格雷片,25mg*21片/盒 / 大包装：400 盒                    ,乐普药业股份有限公司乐普药业股份有限公司,国药准字H20123115,￥43.50/盒,￥40.02,11263
西药,氯霉素滴眼液,0.25%(8ml:20mg) / 大包装：800 瓶                    ,广东宏盈科技有限公司,国药准字H20163459,￥1.40/瓶,￥1.28,117194
西药,乳酸菌素颗粒,1g/袋*12袋 / 大包装：300 盒                    ,黑龙江诺捷制药有限责任公司,国药准字H20133113,￥7.30/盒,￥6.71,1054
西药,缬沙坦胶囊,80mg*7粒                    ,乐普恒久远药业有限公司,国药准字H20133189,￥9.80/盒,￥9.01,85
西药,替普瑞酮胶囊,50mg*10粒*2板                    ,卫材(中国)药业有限公司,国药准字H20093656,￥28.50/盒,￥26.22,218
西药,氯沙坦钾片,50mg*7片 / 大包装：400 盒                    ,杭州默沙东制药有限公司,国药准字J20130148,￥42.00/盒,￥38.64,8049
西药,醋酸泼尼松片,5mg*1000片 / 大包装：100 瓶                    ,天津天药药业股份有限公司,国药准字H12020689,￥24.50/瓶,￥22.54,1565
西药,九邦防水透气创可贴,70mm*18mm*15片 / 大包装：900 盒                    ,深圳三九九正生物医药有限公司,粤深械备20150137号,￥1.50/盒,￥1.38,4177
西药,卡马西平片,0.1G*100S / 大包装：350 瓶                    ,广东华南药业集团有限公司,国药准字H44023982,￥13.00/瓶,￥11.96,4921
西药,头孢克洛颗粒,0.125g*12包/盒 / 大包装：200 盒                    ,浙江昂利康制药有限公司,国药准字H20093383,￥7.00/盒,￥6.44,605
西药,氨茶碱注射液,2ml:0.25g*10支 / 大包装：300 盒                    ,河南润弘制药股份有限公司,国药准字H41022266,￥5.80/盒,￥5.33,1055
西药,氯化钾缓释片(补达秀),0.5g*24片 / 大包装：300 盒                    ,广州迈特兴华制药厂有限公司,国药准字H10910069,￥6.20/盒,￥5.70,4878
西药,硝酸咪康唑乳膏,20g / 大包装：420 支                    ,西安杨森制药有限公司,国药准字H61020001,￥16.00/支,￥14.72,45542
西药,盐酸甲氧氯普胺注射液,1ml：10mg*10支 / 大包装：400 盒                    ,遂成药业股份有限公司,国药准字H41021179,￥2.90/盒,￥2.66,1129
西药,盐酸左氧氟沙星胶囊,0.1g*12粒                    ,北京京丰制药有限公司,国药准字H20058230,￥2.60/盒,￥2.39,715
西药,氢溴酸右美沙芬口服溶液,0.15%*100ml / 大包装：120 瓶                    ,江苏汉晨药业有限公司,国药准字H20103474,￥6.50/瓶,￥5.98,4268
西药,转移因子胶囊,24s                    ,成都利尔药业有限公司,国药准字H20013365,￥10.50/盒,￥9.66,257
西药,阿莫西林胶囊,0.25*10粒*5板/盒 / 大包装：400 盒                    ,山东鲁抗医药股份有限公司,国药准字H19993034,￥5.05/盒,￥4.64,10472
西药,复方酮康唑发用洗剂,50克/支                    ,江苏知原药业有限公司,国药准字H20066990,￥8.50/支,￥7.82,1859
西药,马来酸依那普利片【依苏】,10MG*16片 / 大包装：300 盒                    ,扬子江药业集团江苏制药股份有限公司,国药准字H32026567,￥17.80/盒,￥16.37,4339
西药,明目上清片,40片                    ,吉林玉仁制药股份有限公司,国药准字Z22021188,￥4.80/盒,￥4.41,397
西药,氯唑沙宗片,0.2g*24粒 / 大包装：500 盒                    ,浙江亚太药业股份有限公司,国药准字H33021687,￥3.50/盒,￥3.22,2759
西药,【三精】氨咖黄敏片,24片/盒 / 大包装：400 盒                    ,哈药集团三精千鹤望奎制药有限公司,国药准字H23023247,￥2.90/盒,￥2.66,2314
西药,阿昔洛韦滴眼液,8ml:8mg                    ,安徽省双科药业有限公司,国药准字H20043616,￥1.70/支,￥1.56,3758
西药,诺氟沙星胶囊,0.1g*50s / 大包装：200 盒                    ,国药集团汕头金石制药有限公司,国药准字H44020971,￥4.30/盒,￥3.95,17181
西药,猴头菌片,100片 / 大包装：360 瓶                    ,湖北美宝药业有限公司,国药准字Z42020862,￥2.70/瓶,￥2.48,3215
西药,盐酸特比萘芬凝胶,20g/支                    ,江苏万禾制药有限公司,国药准字H20103279,￥5.80/支,￥5.33,917
西药,卡托普利片,0.25g*100S / 大包装：400 瓶                    ,国药集团汕头金石制药有限公司,国药准字H44024904,￥3.00/瓶,￥2.76,22375
西药,永龙正红花油,20ML / 大包装：144 瓶                    ,万源(福州)药业有限公司,国药准字H35021329,￥6.50/瓶,￥5.98,14320
西药,头孢拉定颗粒,0.125g*12袋 / 大包装：400 盒                    ,广州白云山医药集团股份有限公司白云山制药总厂,国药准字H44021526,￥3.35/盒,￥3.08,10822
西药,黄体酮软胶囊,0.1g*6粒 / 大包装：300 盒                    ,浙江医药股份有限公司新昌制药厂,国药准字H20040982,￥10.50/盒,￥9.66,5480
西药,九邦防水透气大片创可贴,70mm*54mm*4片 / 大包装：600 盒                    ,深圳三九九正生物医药有限公司,粤深械备20150137号,￥2.50/盒,￥2.30,2806
西药,复方愈创木酚磺酸钾口服溶液,100ML / 大包装：120 瓶                    ,广东南国药业有限公司,国药准字H20064417,￥3.88/瓶,￥3.56,5701
西药,盐酸乙胺丁醇片,0.25g*100片 / 大包装：200 盒                    ,特一药业集团股份有限公司,国药准字H44023635,￥14.80/盒,￥13.61,1846
西药,克霉唑栓,150MG*10S / 大包装：200 盒                    ,广州白云山医药集团股份有限公司白云山何济公制药厂,国药准字H44023467,￥7.90/盒,￥7.26,10229
西药,螺内酯片,20mg*100S / 大包装：300 盒                    ,南京瑞年百思特制药有限公司,国药准字H20163054,￥9.60/盒,￥8.83,5647
西药,地塞米松磷酸钠注射液,1ml:5mg*10支 / 大包装：400 盒                    ,遂成药业股份有限公司,国药准字H41021255,￥1.85/盒,￥1.70,16920
西药,哈西奈德溶液,0.1%*10ml / 大包装：800 盒                    ,国药集团三益药业(芜湖)有限公司,国药准字H34020323,￥4.50/盒,￥4.14,7842
西药,头孢呋辛酯片,0.125g*12片/盒 / 大包装：300 盒                    ,珠海联邦制药股份有限公司中山分公司,国药准字H20010095,￥7.30/盒,￥6.71,3846
西药,注射用头孢唑林钠,0.5g/瓶 / 大包装：1000 瓶                    ,广州白云山天心制药股份有限公司,国药准字H44022338,￥1.38/瓶,￥1.26,14767
西药,盐酸溴已新片,8mg*200片 / 大包装：400 瓶                    ,浙江万邦药业股份有限公司,国药准字H33021315,￥15.80/瓶,￥14.53,2018
西药,阿莫西林分散片,0.25g*12S / 大包装：400 盒                    ,石药集团中诺药业(石家庄)有限公司,国药准字H10980075,￥2.70/盒,￥2.48,10218
西药,格列美脲片【安多美】,12s / 大包装：300 盒                    ,贵州天安药业股份有限公司,国药准字H20010561,￥14.80/盒,￥13.61,697
西药,非洛地平缓释片,2.5MG*10S / 大包装：480 盒                    ,阿斯利康制药有限公司,国药准字H20030414,￥25.00/盒,￥23.00,9768
西药,盐酸氟桂利嗪胶囊,5mg*20s / 大包装：400 盒                    ,广东彼迪药业有限公司,国药准字H44021377,￥2.55/盒,￥2.34,6200
西药,九邦弹力轻薄创可贴,70mm*18mm*100片 / 大包装：180 盒                    ,深圳三九九正生物医药有限公司,粤深械备20150137号,￥7.50/盒,￥6.90,485
西药,盐酸左氧氟沙星胶囊,0.1g*10粒                    ,珠海联邦制药股份有限公司中山分公司,国药准字H19990328,￥8.30/盒,￥7.63,1362
西药,硫酸沙丁胺醇片,100片 / 大包装：600 瓶                    ,江苏亚邦爱普森药业有限公司,国药准字H32024535,￥8.20/瓶,￥7.54,5052
西药,阿莫西林颗粒,0.125G/袋*12袋/盒 / 大包装：400 盒                    ,山东鲁抗医药,国药准字h37023129,￥2.50/盒,￥2.30,2660
西药,马来酸氯苯那敏片,4mg*100片 / 大包装：800 瓶                    ,河南九势制药股份有限公司,国药准字H20067086,￥1.80/瓶,￥1.65,12708
西药,盐酸贝那普利片【洛汀新】,10mg*14S / 大包装：240 盒                    ,北京诺华制药有限公司,国药准字H20030514,￥43.50/盒,￥40.02,11615
西药,富马酸酮替芬片,1mg*60片 / 大包装：450 瓶                    ,江苏鹏鹞药业有限公司,国药准字H32023636,￥2.60/瓶,￥2.39,6480
西药,地塞米松磷酸钠注射液,1ml:5mg*10支 / 大包装：200 盒                    ,广州白云山天心制药股份有限公司,国药准字H44022091,￥3.50/盒,￥3.22,2900
西药,复方氨酚烷胺片,12片/盒 / 大包装：300 盒                    ,哈药集团三精制药四厂有限公司,国药准字H23023399,￥4.30/盒,￥3.95,5604
西药,盐酸氨溴索片,30mg*20片 / 大包装：400 盒                    ,山东裕欣药业有限公司,国药准字H20163194,￥2.05/盒,￥1.88,24385
西药,磷酸苯丙哌林片,12片*2板 / 大包装：500 盒                    ,昆明源瑞制药有限公司,国药准字H53020768,￥4.20/盒,￥3.86,3240
西药,兰索拉唑肠溶片,15mg*8片*2板 / 大包装：240 盒                    ,福建乐尔康药业有限公司,国药准字H20094096,￥5.00/盒,￥4.60,172
西药,非洛地平缓释片【波依定】,5MG*10S / 大包装：480 盒                    ,阿斯利康制药有限公司,国药准字H20030415,￥34.50/盒,￥31.74,30348
西药,双氯芬酸钠缓释片【迪根】,0.1克*6片/盒 / 大包装：480 盒                    ,国药集团致君(深圳)坪山制药有限公司,国药准字H10970209,￥2.80/盒,￥2.57,4491
西药,氢溴酸右美沙芬分散片,15MG*24片/盒 / 大包装：400 盒                    ,石药集团欧意,国药准字H20040720,￥8.00/盒,￥7.36,931
西药,酒石酸美托洛尔片【倍他乐克】,50MG*20S / 大包装：240 盒                    ,阿斯利康制药有限公司,国药准字H32025390,￥12.00/盒,￥11.04,87359
西药,尼美舒利颗粒,10袋 / 大包装：500 盒                    ,苏州俞氏药业有限公司,国药准字H20066774,￥2.80/盒,￥2.57,3254
西药,医用棉签【九邦】,10cm*50支 / 大包装：1000 包                    ,深圳三九九正生物医药有限公司,粤深械备20150139号,￥0.90/包,￥0.82,6750
西药,妥布霉素滴眼液,5ml:15mg / 大包装：600 瓶                    ,南京天朗制药有限公司,国药准字H20067620,￥2.50/瓶,￥2.30,3245
西药,罗红霉素颗粒,50mg*6袋/盒 / 大包装：200 盒                    ,葵花药业集团(衡水)得菲尔有限公司,国药准字H20065395,￥3.80/盒,￥3.49,2599
西药,酒石酸美托洛尔片【倍他乐克】,25MG*20S / 大包装：240 盒                    ,阿斯利康制药有限公司,国药准字H32025391,￥7.45/盒,￥6.85,280829
西药,盐酸异丙嗪片,12.5mg*100片                    ,常州康普药业有限公司,国药准字H32025989,￥5.80/瓶,￥5.33,2395
西药,双氯芬酸钠缓释胶囊,0.1g*12粒 / 大包装：300 盒                    ,珠海润都制药股份有限公司,国药准字H20066985,￥7.50/盒,￥6.90,5348
西药,葡萄糖注射液,20ml:10g*5支 / 大包装：80 盒                    ,湖北科伦药业有限公司,国药准字H42021188,￥1.65/盒,￥1.51,4788
西药,注射用头孢曲松钠,1.0g / 大包装：1000 瓶                    ,湖南科伦制药有限公司,国药准字H20065641,￥1.20/瓶,￥1.10,16957
西药,二羟丙茶碱注射液,2ml：0.25*10支 / 大包装：300 盒                    ,遂成药业股份有限公司,国药准字H20066526,￥7.00/盒,￥6.44,516
西药,氧氟沙星滴眼液,5ml:15mg/盒                    ,江苏汉晨药业,国药准字H20065951,￥1.60/盒,￥1.47,1642
西药,头孢拉定胶囊,0.25g*100粒 / 大包装：120 瓶                    ,三才石岐制药股份有限公司,国药准字H44023262,￥17.50/瓶,￥16.10,7480
西药,复方双嗪利血平片,100S / 大包装：300 盒                    ,广东一力集团制药股份有限公司,国药准字H44024386,￥5.20/盒,￥4.78,19100
西药,盐酸氨溴索口服溶液,100ML/瓶（无糖型） / 大包装：120 瓶                    ,深圳致君制药有限公司,国药准字H20073744,￥6.50/瓶,￥5.98,6570
西药,盐酸二甲双胍缓释片,0.5克*30片 / 大包装：300 盒                    ,山东司邦得制药有限公司,国药准字H20060230,￥7.20/盒,￥6.62,6612
西药,头孢拉定胶囊,12粒*2板/盒 / 大包装：400 盒                    ,江苏亚邦强生药业有限公司,国药准字H20044865,￥4.45/盒,￥4.09,20688
西药,注射用头孢呋辛钠1.0g,1.0g / 大包装：800 支                    ,广州白云山天心制药股份有限公司,国药准字H20023627,￥2.75/支,￥2.53,14715
西药,头孢拉定颗粒,0.125g*12袋 / 大包装：400 盒                    ,海南三叶制药,国药准字H46020360,￥3.90/盒,￥3.58,1470
西药,退热贴 快舒美,3片 / 大包装：480 盒                    ,广州市诗丽雅美容化妆品有限公司,YZB/粤穗0032-2011,￥4.50/盒,￥4.14,913
西药,盐酸异丙嗪注射液,2ml:50mg*10支 / 大包装：300 盒                    ,遂成药业股份有限公司,国药准字H41021181,￥9.20/盒,￥8.46,109
西药,布洛芬混悬液【美林】,0.6g*35ml / 大包装：216 瓶                    ,上海强生制药有限公司,国药准字H20000359,￥14.50/瓶,￥13.34,32540
西药,盐酸氨溴索口服溶液,100毫升 / 大包装：120 瓶                    ,江苏汉晨药业有限公司,国药准字H20066523,￥7.50/瓶,￥6.90,4572
西药,氢溴酸右美沙芬糖浆,100ML/瓶 / 大包装：100 盒                    ,上海美优制药,国药准字H10940238,￥6.50/盒,￥5.98,19458
西药,【茂祥】头孢拉定胶囊【6号丸】,0.25克*12粒 / 大包装：500 盒                    ,通化茂祥制药,国药准字H22023475,￥4.65/盒,￥4.27,1180
西药,苯磺酸氨氯地平片【络活喜】,5MG*7S / 大包装：400 盒                    ,辉瑞制药有限公司,国药准字H10950224,￥34.00/盒,￥31.28,98994
